filename,id,language,date,author,title,gender,person,length
"FR_1835_Vigny, AlfredDe_ServitudeEtGrandeurMiliitaires_Novel.txt",341,French,1835,"Vigny, AlfredDe",ServitudeEtGrandeurMiliitaires,male,first,57023
"FR_1836_Gozlan,Leon_LeNotaireDeChantilly_Novel.txt",342,French,1836,"Gozlan,Leon",LeNotaireDeChantilly,male,third,108731
"FR_1836_Musset,Alfred_Confessions_Novel.txt",343,French,1836,"Musset,Alfred",Confessions,male,first,88635
"FR_1837_Soulie,Frederic_Les Memoires du Diable_Novel.txt",344,French,1837,"Soulie,Frederic",Les Memoires du Diable,male,first,103293
"FR_1838_Dumas,Alexandre_LECAPITAINEPAUL_Novel.txt",345,French,1838,"Dumas,Alexandre",Le Capitaine Paul,male,first,60568
"FR_1838_Tristan,Flora_MephisTome1_Novel.txt",346,French,1838,"Tristan,Flora",MephisTome1,female,third,54903
"FR_1839_Dumas,Alexandre(père),_CapitanePamphileLe_Novel.txt",347,French,1839,"Dumas,Alexandre(père),",CapitanePamphileLe,male,first,65734
"FR_1839_Topffer,Rodolphe_NouvellesGenevoises_Novel.txt",348,French,1839,"Topffer,Rodolphe",NouvellesGenevoises,male,first,114062
"FR_1840_Merimee,Prosper_Colomba_Novel.txt",349,French,1840,"Merimee,Prosper",Colomba,male,third,44830
FR_1842_Dumas_ChevalierdHarmental_Novel.txt,350,French,1842,Dumas,ChevalierdHarmental,male,third,160591
"FR_1842_Reybaud,Louis_JeromePaturotALaRechercheD'unePositionSociale_Novel.txt",351,French,1842,"Reybaud,Louis",JeromePaturotALaRechercheD'unePositionSociale,male,first,131887
FR_1842_Stendhal_Lamiel_Novel.txt,352,French,1842,Stendhal,Lamiel,male,first,55654
"FR_1843_Balzac,HonoreDe_IllusionsPerdues_Novel.txt",353,French,1843,"Balzac,HonoreDe",IllusionsPerdues,male,third,228143
"FR_1843_Dumas,Alexandre(pere)_Ascanio_Novel.txt",354,French,1843,"Dumas,Alexandre(pere)",Ascanio,male,third,163860
"FR_1847_Gauthier,Theophile_Militona_Noel.txt",355,French,1847,"Gauthier,Theophile",Militona,male,third,37457
"FR_1848_Sandeaux,Jules_MademoiselleDeLaSeigliere_Novel.txt",356,French,1848,"Sandeaux,Jules",MademoiselleDeLaSeigliere,male,first,68009
